Pais;Bandeira;Wikipedia;População
Porto Rico  (Estados Unidos);https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Puerto_Rico.svg/22px-Flag_of_Puerto_Rico.svg.png;https://wikipedia.org//wiki/Porto_Rico;2860853
Lituânia;https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/22px-Flag_of_Lithuania.svg.png;https://wikipedia.org//wiki/Litu%C3%A2nia;2722289
Moldávia;https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/22px-Flag_of_Moldova.svg.png;https://wikipedia.org//wiki/Mold%C3%A1via;2640438
Namíbia;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/22px-Flag_of_Namibia.svg.png;https://wikipedia.org//wiki/Nam%C3%ADbia;2540905
Gâmbia;https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/22px-Flag_of_The_Gambia.svg.png;https://wikipedia.org//wiki/G%C3%A2mbia;2416668
Botswana;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/22px-Flag_of_Botswana.svg.png;https://wikipedia.org//wiki/Botswana;2351627
Gabão;https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/22px-Flag_of_Gabon.svg.png;https://wikipedia.org//wiki/Gab%C3%A3o;2225734
Lesoto;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/22px-Flag_of_Lesotho.svg.png;https://wikipedia.org//wiki/Lesoto;2142249
Macedônia do Norte;https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/22px-Flag_of_North_Macedonia.svg.png;https://wikipedia.org//wiki/Maced%C3%B4nia_do_Norte;2083374
Eslovénia;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/22px-Flag_of_Slovenia.svg.png;https://wikipedia.org//wiki/Eslov%C3%A9nia;2078938
Guiné-Bissau;https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/22px-Flag_of_Guinea-Bissau.svg.png;https://wikipedia.org//wiki/Guin%C3%A9-Bissau;1968001
Letónia;https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/22px-Flag_of_Latvia.svg.png;https://wikipedia.org//wiki/Let%C3%B3nia;1886198
Kosovo;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/22px-Flag_of_Kosovo.svg.png;https://wikipedia.org//wiki/Kosovo;1795666
Bahrein;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/22px-Flag_of_Bahrain.svg.png;https://wikipedia.org//wiki/Bahrein;1701575
Guiné Equatorial;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/22px-Flag_of_Equatorial_Guinea.svg.png;https://wikipedia.org//wiki/Guin%C3%A9_Equatorial;1402985
Trinidad e Tobago;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/22px-Flag_of_Trinidad_and_Tobago.svg.png;https://wikipedia.org//wiki/Trinidad_e_Tobago;1399488
Estónia;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/22px-Flag_of_Estonia.svg.png;https://wikipedia.org//wiki/Est%C3%B3nia;1326335
Timor-Leste;https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/22px-Flag_of_East_Timor.svg.png;https://wikipedia.org//wiki/Timor-Leste;1318445
Maurícia;https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/22px-Flag_of_Mauritius.svg.png;https://wikipedia.org//wiki/Maur%C3%ADcia;1271768
Eswatini;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/22px-Flag_of_Eswatini.svg.png;https://wikipedia.org//wiki/Essuat%C3%ADni;1160164
Djibouti;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/22px-Flag_of_Djibouti.svg.png;https://wikipedia.org//wiki/Djibouti;988000
Chipre;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/22px-Flag_of_Cyprus.svg.png;https://wikipedia.org//wiki/Chipre;900432
Fiji;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/22px-Flag_of_Fiji.svg.png;https://wikipedia.org//wiki/Fiji;896445
Reunião (França);https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Proposed_flag_of_R%C3%A9union_%28VAR%29.svg/23px-Proposed_flag_of_R%C3%A9union_%28VAR%29.svg.png;https://wikipedia.org//wiki/Ficheiro:Proposed_flag_of_R%C3%A9union_(VAR).svg;895312
Comores;https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/22px-Flag_of_the_Comoros.svg.png;https://wikipedia.org//wiki/Comores;869601
Guiana;https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/22px-Flag_of_Guyana.svg.png;https://wikipedia.org//wiki/Guiana;786552
Butão;https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/22px-Flag_of_Bhutan.svg.png;https://wikipedia.org//wiki/But%C3%A3o;771608
Ilhas Salomão;https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Solomon_Islands.svg/22px-Flag_of_the_Solomon_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Salom%C3%A3o;686884
Macau (China);https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Flag_of_Macau.svg/22px-Flag_of_Macau.svg.png;https://wikipedia.org//wiki/Macau;649335
Montenegro;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/22px-Flag_of_Montenegro.svg.png;https://wikipedia.org//wiki/Montenegro;649335
Luxemburgo;https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/22px-Flag_of_Luxembourg.svg.png;https://wikipedia.org//wiki/Luxemburgo;625978
Saara Ocidental (Marrocos);https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg/22px-Flag_of_the_Sahrawi_Arab_Democratic_Republic.svg.png;https://wikipedia.org//wiki/Saara_Ocidental;597339
Suriname;https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Suriname.svg/22px-Flag_of_Suriname.svg.png;https://wikipedia.org//wiki/Suriname;586632
Cabo Verde;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/22px-Flag_of_Cape_Verde.svg.png;https://wikipedia.org//wiki/Cabo_Verde;555987
Maldivas;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Maldives.svg/22px-Flag_of_Maldives.svg.png;https://wikipedia.org//wiki/Maldivas;540544
Malta;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/22px-Flag_of_Malta.svg.png;https://wikipedia.org//wiki/Malta;441543
Transnístria (Moldávia);https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Flag_of_Transnistria.svg/22px-Flag_of_Transnistria.svg.png;https://wikipedia.org//wiki/Transn%C3%ADstria;469000
Brunei;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/22px-Flag_of_Brunei.svg.png;https://wikipedia.org//wiki/Brunei;437479
Guadalupe (França);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Unofficial_flag_of_Guadeloupe_%28local%29.svg/24px-Unofficial_flag_of_Guadeloupe_%28local%29.svg.png;https://wikipedia.org//wiki/Ficheiro:Unofficial_flag_of_Guadeloupe_(local).svg;400124
Belize;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/22px-Flag_of_Belize.svg.png;https://wikipedia.org//wiki/Belize;397628
Bahamas;https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Bahamas_Flag.svg/22px-Bahamas_Flag.svg.png;https://wikipedia.org//wiki/Bahamas;393244
Martinica (França);https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_the_Territorial_Collectivity_of_Martinique.svg/22px-Flag_of_the_Territorial_Collectivity_of_Martinique.svg.png;https://wikipedia.org//wiki/Ficheiro:Flag_of_the_Territorial_Collectivity_of_Martinique.svg;375265
República Turca de Chipre do Norte (Chipre);https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg/22px-Flag_of_the_Turkish_Republic_of_Northern_Cyprus.svg.png;https://wikipedia.org//wiki/Rep%C3%BAblica_Turca_de_Chipre_do_Norte;351965
Islândia;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/22px-Flag_of_Iceland.svg.png;https://wikipedia.org//wiki/Isl%C3%A2ndia;341243
Vanuatu;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Vanuatu.svg/22px-Flag_of_Vanuatu.svg.png;https://wikipedia.org//wiki/Vanuatu;307145
Guiana Francesa (França);https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_French_Guiana.svg/22px-Flag_of_French_Guiana.svg.png;https://wikipedia.org//wiki/Guiana_Francesa;298682
Barbados;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/22px-Flag_of_Barbados.svg.png;https://wikipedia.org//wiki/Barbados;287375
Nova Caledônia  (França);https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flags_of_New_Caledonia.svg/22px-Flags_of_New_Caledonia.svg.png;https://wikipedia.org//wiki/Ficheiro:Flags_of_New_Caledonia.svg;285498
Polinésia Francesa  (França);https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/22px-Flag_of_French_Polynesia.svg.png;https://wikipedia.org//wiki/Polin%C3%A9sia_Francesa;280908
Mayotte (França);https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Mayotte_%28local%29.png/24px-Flag_of_Mayotte_%28local%29.png;https://wikipedia.org//wiki/Ficheiro:Flag_of_Mayotte_(local).png;272815
Abecásia (Geórgia);https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Republic_of_Abkhazia.svg/22px-Flag_of_the_Republic_of_Abkhazia.svg.png;https://wikipedia.org//wiki/Abec%C3%A1sia;245424
São Tomé e Príncipe;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Sao_Tome_and_Principe.svg/22px-Flag_of_Sao_Tome_and_Principe.svg.png;https://wikipedia.org//wiki/S%C3%A3o_Tom%C3%A9_e_Pr%C3%ADncipe;219159
Samoa;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Samoa.svg/22px-Flag_of_Samoa.svg.png;https://wikipedia.org//wiki/Samoa;198414
Santa Lúcia;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Saint_Lucia.svg/22px-Flag_of_Saint_Lucia.svg.png;https://wikipedia.org//wiki/Santa_L%C3%BAcia;183627
Guam (Estados unidos);https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Guam.svg/22px-Flag_of_Guam.svg.png;https://wikipedia.org//wiki/Guam;168775
Curaçao (Países Baixos);https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Cura%C3%A7ao.svg/22px-Flag_of_Cura%C3%A7ao.svg.png;https://wikipedia.org//wiki/Cura%C3%A7ao;164093
Kiribati;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/22px-Flag_of_Kiribati.svg.png;https://wikipedia.org//wiki/Kiribati;119449
Estados Federados da Micronésia;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/22px-Flag_of_the_Federated_States_of_Micronesia.svg.png;https://wikipedia.org//wiki/Estados_Federados_da_Micron%C3%A9sia;114419
Granada;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/22px-Flag_of_Grenada.svg.png;https://wikipedia.org//wiki/Granada_(pa%C3%ADs);112523
São Vicente e Granadinas;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/22px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png;https://wikipedia.org//wiki/S%C3%A3o_Vicente_e_Granadinas;110940
Jersey  (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Jersey.svg/22px-Flag_of_Jersey.svg.png;https://wikipedia.org//wiki/Jersey;107800
Aruba  (Países Baixos);https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/22px-Flag_of_Aruba.svg.png;https://wikipedia.org//wiki/Aruba;106766
Tonga;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Tonga.svg/22px-Flag_of_Tonga.svg.png;https://wikipedia.org//wiki/Tonga;105695
U.S. Ilhas Virgens  (Estados Unidos);https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_the_United_States_Virgin_Islands.svg/22px-Flag_of_the_United_States_Virgin_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Virgens_Americanas;104425
Seicheles;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Seychelles.svg/22px-Flag_of_Seychelles.svg.png;https://wikipedia.org//wiki/Seicheles;98347
Antígua e Barbuda;https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/22px-Flag_of_Antigua_and_Barbuda.svg.png;https://wikipedia.org//wiki/Ant%C3%ADgua_e_Barbuda;97929
Ilha de Man  (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_the_Isle_of_Mann.svg/22px-Flag_of_the_Isle_of_Mann.svg.png;https://wikipedia.org//wiki/Ilha_de_Man;85033
Andorra;https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/22px-Flag_of_Andorra.svg.png;https://wikipedia.org//wiki/Andorra;77265
Domínica;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/22px-Flag_of_Dominica.svg.png;https://wikipedia.org//wiki/Dom%C3%ADnica;71986
Ilhas Cayman (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Cayman_Islands.svg/22px-Flag_of_the_Cayman_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Cayman;65722
Guernsey (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Guernsey.svg/22px-Flag_of_Guernsey.svg.png;https://wikipedia.org//wiki/Guernsey;63155
Bermudas (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/22px-Flag_of_Bermuda.svg.png;https://wikipedia.org//wiki/Bermudas;62278
Ilhas Marshall;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/22px-Flag_of_the_Marshall_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Marshall;59190
Marianas Setentrionais  (Estados Unidos);https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_the_Northern_Mariana_Islands.svg/22px-Flag_of_the_Northern_Mariana_Islands.svg.png;https://wikipedia.org//wiki/Marianas_Setentrionais;57559
Ossétia do Sul (Geórgia);https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_South_Ossetia.svg/22px-Flag_of_South_Ossetia.svg.png;https://wikipedia.org//wiki/Oss%C3%A9tia_do_Sul;57095
Gronelândia (Dinamarca);https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Greenland.svg/22px-Flag_of_Greenland.svg.png;https://wikipedia.org//wiki/Ficheiro:Flag_of_Greenland.svg;56770
Samoa Americana  (Estados Unidos);https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/22px-Flag_of_American_Samoa.svg.png;https://wikipedia.org//wiki/Samoa_Americana;55191
São Cristóvão e Nevis;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg/22px-Flag_of_Saint_Kitts_and_Nevis.svg.png;https://wikipedia.org//wiki/S%C3%A3o_Crist%C3%B3v%C3%A3o_e_Nevis;53199
Ilhas Faroe (Dinamarca);https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_the_Faroe_Islands.svg/22px-Flag_of_the_Faroe_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Faroe;48863
São Martinho  (Países Baixos);https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Sint_Maarten.svg/22px-Flag_of_Sint_Maarten.svg.png;https://wikipedia.org//wiki/S%C3%A3o_Martinho_(Pa%C3%ADses_Baixos);42876
Mônaco;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Monaco.svg/22px-Flag_of_Monaco.svg.png;https://wikipedia.org//wiki/M%C3%B4naco;39242
Ilhas Turks e Caicos (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_the_Turks_and_Caicos_Islands.svg/22px-Flag_of_the_Turks_and_Caicos_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Turks_e_Caicos;38717
São Martinho  (França);https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Saint-Martin_%28fictional%29.svg/22px-Flag_of_Saint-Martin_%28fictional%29.svg.png;https://wikipedia.org//wiki/Ficheiro:Flag_of_Saint-Martin_(fictional).svg;38666
Liechtenstein;https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Liechtenstein.svg/22px-Flag_of_Liechtenstein.svg.png;https://wikipedia.org//wiki/Liechtenstein;38128
San Marino;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_San_Marino.svg/22px-Flag_of_San_Marino.svg.png;https://wikipedia.org//wiki/San_Marino;33931
Gibraltar (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Gibraltar.svg/22px-Flag_of_Gibraltar.svg.png;https://wikipedia.org//wiki/Gibraltar;33691
Ilhas Virgens Britânicas  (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/22px-Flag_of_the_British_Virgin_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Virgens_Brit%C3%A2nicas;30231
Bonaire (Países Baixos);https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_Bonaire.svg/22px-Flag_of_Bonaire.svg.png;https://wikipedia.org//wiki/Bonaire;20915
Palau;https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Palau.svg/22px-Flag_of_Palau.svg.png;https://wikipedia.org//wiki/Palau;18094
Ilhas Cook;https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_the_Cook_Islands.svg/22px-Flag_of_the_Cook_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Cook;17564
Anguila (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/22px-Flag_of_Anguilla.svg.png;https://wikipedia.org//wiki/Anguila;15003
Tuvalu;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tuvalu.svg/22px-Flag_of_Tuvalu.svg.png;https://wikipedia.org//wiki/Tuvalu;11792
Wallis e Futuna  (França);https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Flag_of_Wallis_and_Futuna.svg/22px-Flag_of_Wallis_and_Futuna.svg.png;https://wikipedia.org//wiki/Wallis_e_Futuna;11239
Nauru;https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/22px-Flag_of_Nauru.svg.png;https://wikipedia.org//wiki/Nauru;10824
São Bartolomeu (França);https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Saint_Barth%C3%A9lemy_%28local%29.svg/22px-Flag_of_Saint_Barth%C3%A9lemy_%28local%29.svg.png;https://wikipedia.org//wiki/Ficheiro:Flag_of_Saint_Barth%C3%A9lemy_(local).svg;9877
São Pedro e Miquelão  (França);https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_Saint-Pierre_and_Miquelon.svg/22px-Flag_of_Saint-Pierre_and_Miquelon.svg.png;https://wikipedia.org//wiki/Ficheiro:Flag_of_Saint-Pierre_and_Miquelon.svg;6008
Montserrat  (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Montserrat.svg/22px-Flag_of_Montserrat.svg.png;https://wikipedia.org//wiki/Montserrat;4992
Santa Helena (território) do Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Saint_Helena.svg/22px-Flag_of_Saint_Helena.svg.png;https://wikipedia.org//wiki/Santa_Helena_(territ%C3%B3rio);4889
Ilhas Malvinas (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_Falkland_Islands.svg/22px-Flag_of_the_Falkland_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Malvinas;3480
Santo Eustáquio (Países Baixos);https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Sint_Eustatius.svg/22px-Flag_of_Sint_Eustatius.svg.png;https://wikipedia.org//wiki/Santo_Eust%C3%A1quio_(Pa%C3%ADses_Baixos);3139
Território Britânico do Oceano Índico (UK);https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg/22px-Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg.png;https://wikipedia.org//wiki/Territ%C3%B3rio_Brit%C3%A2nico_do_Oceano_%C3%8Dndico;3000
Ilha Christmas (Austrália);https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_Christmas_Island.svg/22px-Flag_of_Christmas_Island.svg.png;https://wikipedia.org//wiki/Ficheiro:Flag_of_Christmas_Island.svg;1996
Niue;https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Niue.svg/22px-Flag_of_Niue.svg.png;https://wikipedia.org//wiki/Niue;1626
Saba (Países Baixos);https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Flag_of_Saba.svg/22px-Flag_of_Saba.svg.png;https://wikipedia.org//wiki/Saba;1933
Ilha Norfolk (Austrália);https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Norfolk_Island.svg/22px-Flag_of_Norfolk_Island.svg.png;https://wikipedia.org//wiki/Ilha_Norfolk;1734
Tokelau   (NZ);https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Flag_of_Tokelau.svg/22px-Flag_of_Tokelau.svg.png;https://wikipedia.org//wiki/Tokelau;1357
Ilha de Ascensão (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Ascension_Island.svg/22px-Flag_of_Ascension_Island.svg.png;https://wikipedia.org//wiki/Ilha_de_Ascens%C3%A3o;806
Vaticano;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_Vatican_City.svg/20px-Flag_of_the_Vatican_City.svg.png;https://wikipedia.org//wiki/Vaticano;801
Ilhas Cocos (Keeling)  (Austrália);https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Cocos_%28Keeling%29_Islands.svg/22px-Flag_of_the_Cocos_%28Keeling%29_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Cocos_(Keeling);573
Tristão da Cunha (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Tristan_da_Cunha.svg/22px-Flag_of_Tristan_da_Cunha.svg.png;https://wikipedia.org//wiki/Trist%C3%A3o_da_Cunha;277
Ilhas Pitcairn (Reino Unido);https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_the_Pitcairn_Islands.svg/22px-Flag_of_the_Pitcairn_Islands.svg.png;https://wikipedia.org//wiki/Ilhas_Pitcairn;50
